Observer_ID;Previous_Experience;Round;Sample_ID;Obs_No_Larvae;Time_Sec;True_No_Larvae;Incubation
4;no;A;8;0;8.31;0;yes
4;no;B;8;0;7.39;0;yes
5;yes;A;8;0;18.65;0;yes
5;yes;B;8;0;24.47;0;yes
6;yes;A;8;0;38.64;0;yes
6;yes;B;8;0;9.9;0;yes
7;no;A;8;0;12.45;0;yes
7;no;B;8;0;9.38;0;yes
8;yes;A;8;0;17.19;0;yes
8;yes;B;8;0;33.42;0;yes
9;no;A;8;0;12.89;0;yes
9;no;B;8;0;11.67;0;yes
10;yes;A;8;0;13.28;0;yes
10;yes;B;8;0;8.44;0;yes
1;yes;A;9;1;20.2;1;yes
1;yes;B;9;1;10.32;1;yes
2;yes;A;9;0;9.65;1;yes
2;yes;B;9;1;11.86;1;yes
3;yes;A;9;1;22.26;1;yes
3;yes;B;9;1;34.48;1;yes
4;no;A;9;1;10.64;1;yes
4;no;B;9;1;14.29;1;yes
5;yes;A;9;1;22.23;1;yes
5;yes;B;9;1;23.89;1;yes
6;yes;A;9;1;17.12;1;yes
6;yes;B;9;1;14.5;1;yes
7;no;A;9;3;21.84;1;yes
7;no;B;9;1;17.16;1;yes
8;yes;A;9;1;25.95;1;yes
8;yes;B;9;1;33.21;1;yes
9;no;A;9;1;23.9;1;yes
9;no;B;9;1;18.46;1;yes
10;yes;A;9;1;12.18;1;yes
10;yes;B;9;1;9.41;1;yes
1;yes;A;10;0;44.94;0;yes
1;yes;B;10;0;22.74;0;yes
2;yes;A;10;0;17.94;0;yes
2;yes;B;10;0;13.67;0;yes
3;yes;A;10;0;32.56;0;yes
3;yes;B;10;0;39.34;0;yes
4;no;A;10;0;11.33;0;yes
4;no;B;10;0;27.63;0;yes
5;yes;A;10;0;32.63;0;yes
5;yes;B;10;0;28.94;0;yes
6;yes;A;10;0;27.66;0;yes
6;yes;B;10;0;14.72;0;yes
7;no;A;10;0;18.53;0;yes
7;no;B;10;0;17.09;0;yes
8;yes;A;10;0;25.2;0;yes
8;yes;B;10;0;32.26;0;yes
9;no;A;10;0;16.9;0;yes
9;no;B;10;0;14.03;0;yes
10;yes;A;10;0;13.61;0;yes
10;yes;B;10;0;9.42;0;yes
1;yes;A;11;15;33.83;14;yes
1;yes;B;11;14;57.41;14;yes
2;yes;A;11;10;9.34;14;yes
2;yes;B;11;11;20.36;14;yes
3;yes;A;11;10;17.32;14;yes
3;yes;B;11;13;69.23;14;yes
4;no;A;11;12;17.55;14;yes
4;no;B;11;12;16.28;14;yes
5;yes;A;11;11;67.17;14;yes
5;yes;B;11;5;21.41;14;yes
6;yes;A;11;8;20.21;14;yes
6;yes;B;11;6;14.43;14;yes
7;no;A;11;4;24.43;14;yes
7;no;B;11;3;15.98;14;yes
8;yes;A;11;7;22.18;14;yes
8;yes;B;11;8;46.93;14;yes
9;no;A;11;7;62.91;14;yes
9;no;B;11;7;23.75;14;yes
10;yes;A;11;4;17.56;14;yes
10;yes;B;11;5;19.37;14;yes
1;yes;A;12;0;24.18;0;yes
1;yes;B;12;0;21.31;0;yes
2;yes;A;12;0;16.88;0;yes
2;yes;B;12;0;18.55;0;yes
3;yes;A;12;0;32.81;0;yes
3;yes;B;12;0;53.3;0;yes
4;no;A;12;0;14.5;0;yes
4;no;B;12;0;13.84;0;yes
5;yes;A;12;0;23.62;0;yes
5;yes;B;12;0;11.77;0;yes
6;yes;A;12;0;33.72;0;yes
6;yes;B;12;0;33.72;0;yes
7;no;A;12;0;16.53;0;yes
7;no;B;12;0;15.32;0;yes
8;yes;A;12;0;25.51;0;yes
8;yes;B;12;0;39.13;0;yes
9;no;A;12;0;16.91;0;yes
9;no;B;12;0;20.26;0;yes
10;yes;A;12;0;11.6;0;yes
10;yes;B;12;0;11.38;0;yes
1;yes;A;13;12;44.49;18;yes
1;yes;B;13;14;24.6;18;yes
2;yes;A;13;12;17.97;18;yes
2;yes;B;13;12;23.7;18;yes
3;yes;A;13;14;39.62;18;yes
3;yes;B;13;12;57.47;18;yes
4;no;A;13;12;20.92;18;yes
4;no;B;13;12;29.52;18;yes
5;yes;A;13;11;69.17;18;yes
5;yes;B;13;12;50.92;18;yes
6;yes;A;13;12;29.77;18;yes
6;yes;B;13;9;25.58;18;yes
7;no;A;13;11;60.76;18;yes
7;no;B;13;10;76.33;18;yes
8;yes;A;13;15;120.59;18;yes
8;yes;B;13;8;38.59;18;yes
9;no;A;13;14;73.64;18;yes
9;no;B;13;16;66.15;18;yes
10;yes;A;13;9;21.29;18;yes
10;yes;B;13;10;19.56;18;yes
1;yes;A;14;7;29.15;7;yes
1;yes;B;14;7;31.14;7;yes
2;yes;A;14;7;15.89;7;yes
2;yes;B;14;7;7.98;7;yes
3;yes;A;14;6;24.4;7;yes
3;yes;B;14;7;33.08;7;yes
4;no;A;14;7;9.45;7;yes
4;no;B;14;7;12.38;7;yes
5;yes;A;14;7;34.77;7;yes
5;yes;B;14;7;16.03;7;yes
6;yes;A;14;7;18.45;7;yes
6;yes;B;14;7;23.54;7;yes
7;no;A;14;7;17.23;7;yes
7;no;B;14;6;22.85;7;yes
8;yes;A;14;7;33.54;7;yes
8;yes;B;14;7;25.46;7;yes
9;no;A;14;7;31.91;7;yes
9;no;B;14;8;21.65;7;yes
10;yes;A;14;6;16.8;7;yes
10;yes;B;14;7;12.67;7;yes
1;yes;A;15;9;21.89;9;yes
1;yes;B;15;9;13.59;9;yes
2;yes;A;15;8;7.73;9;yes
2;yes;B;15;9;6.87;9;yes
3;yes;A;15;7;16.75;9;yes
3;yes;B;15;9;20.32;9;yes
4;no;A;15;9;12.48;9;yes
4;no;B;15;9;15.6;9;yes
5;yes;A;15;6;27;9;yes
5;yes;B;15;7;20.27;9;yes
6;yes;A;15;5;18.44;9;yes
6;yes;B;15;6;16.45;9;yes
7;no;A;15;7;15.49;9;yes
7;no;B;15;4;12.17;9;yes
8;yes;A;15;6;21;9;yes
8;yes;B;15;7;22.51;9;yes
9;no;A;15;7;29.11;9;yes
9;no;B;15;7;22.74;9;yes
10;yes;A;15;4;12.7;9;yes
10;yes;B;15;4;9.48;9;yes
1;yes;A;16;1;23.36;1;yes
1;yes;B;16;1;17.1;1;yes
2;yes;A;16;1;20.85;1;yes
2;yes;B;16;0;15.66;1;yes
3;yes;A;16;0;32.36;1;yes
3;yes;B;16;0;31.38;1;yes
4;no;A;16;0;13.67;1;yes
4;no;B;16;0;21.21;1;yes
5;yes;A;16;0;29.65;1;yes
5;yes;B;16;0;18.45;1;yes
6;yes;A;16;0;84.88;1;yes
6;yes;B;16;0;12.62;1;yes
7;no;A;16;0;16.68;1;yes
7;no;B;16;0;20.81;1;yes
8;yes;A;16;0;29.72;1;yes
8;yes;B;16;0;48.74;1;yes
9;no;A;16;2;26.88;1;yes
9;no;B;16;2;27.13;1;yes
10;yes;A;16;0;16.13;1;yes
10;yes;B;16;0;14.39;1;yes
1;yes;A;17;0;22.55;0;yes
1;yes;B;17;0;23.86;0;yes
2;yes;A;17;0;14.82;0;yes
2;yes;B;17;0;18.95;0;yes
3;yes;A;17;0;31.17;0;yes
3;yes;B;17;0;36.8;0;yes
4;no;A;17;0;11.2;0;yes
4;no;B;17;0;20.39;0;yes
5;yes;A;17;0;28.7;0;yes
5;yes;B;17;0;22.01;0;yes
6;yes;A;17;0;21.22;0;yes
6;yes;B;17;0;19.18;0;yes
7;no;A;17;0;14.19;0;yes
7;no;B;17;0;11.25;0;yes
8;yes;A;17;0;21.33;0;yes
8;yes;B;17;0;23.7;0;yes
9;no;A;17;0;24.6;0;yes
9;no;B;17;0;22.06;0;yes
10;yes;A;17;0;19.93;0;yes
10;yes;B;17;0;12.47;0;yes
1;yes;A;18;0;39.33;0;yes
1;yes;B;18;0;14.81;0;yes
2;yes;A;18;0;21.75;0;yes
2;yes;B;18;0;10.66;0;yes
3;yes;A;18;0;21;0;yes
3;yes;B;18;0;28.33;0;yes
4;no;A;18;0;18.1;0;yes
4;no;B;18;0;17.73;0;yes
5;yes;A;18;0;26.21;0;yes
5;yes;B;18;0;26.16;0;yes
6;yes;A;18;0;27.53;0;yes
6;yes;B;18;0;17.69;0;yes
7;no;A;18;0;23.07;0;yes
7;no;B;18;0;12.71;0;yes
8;yes;A;18;0;28.52;0;yes
8;yes;B;18;0;45.69;0;yes
9;no;A;18;1;18.47;0;yes
9;no;B;18;0;25.29;0;yes
10;yes;A;18;0;13.2;0;yes
10;yes;B;18;0;11.9;0;yes
1;yes;A;19;4;22.06;3;yes
1;yes;B;19;4;18.32;3;yes
2;yes;A;19;3;10.56;3;yes
2;yes;B;19;2;7.01;3;yes
3;yes;A;19;3;26.63;3;yes
3;yes;B;19;4;30.83;3;yes
4;no;A;19;3;14.89;3;yes
4;no;B;19;3;14.87;3;yes
5;yes;A;19;0;23.98;3;yes
5;yes;B;19;2;26.54;3;yes
6;yes;A;19;3;26.75;3;yes
6;yes;B;19;5;31.31;3;yes
7;no;A;19;2;17.65;3;yes
7;no;B;19;2;13.64;3;yes
8;yes;A;19;3;42.49;3;yes
8;yes;B;19;4;33.18;3;yes
9;no;A;19;2;14.21;3;yes
9;no;B;19;3;30.76;3;yes
10;yes;A;19;3;16.69;3;yes
10;yes;B;19;3;10.39;3;yes
1;yes;A;20;1;23.18;2;yes
1;yes;B;20;2;16.71;2;yes
2;yes;A;20;1;10.25;2;yes
2;yes;B;20;1;13.21;2;yes
3;yes;A;20;1;24.42;2;yes
3;yes;B;20;1;30.04;2;yes
4;no;A;20;1;9.38;2;yes
4;no;B;20;1;22.5;2;yes
5;yes;A;20;0;30.87;2;yes
5;yes;B;20;1;18.13;2;yes
6;yes;A;20;1;15.09;2;yes
6;yes;B;20;1;12.18;2;yes
7;no;A;20;1;18.81;2;yes
7;no;B;20;1;11.8;2;yes
8;yes;A;20;1;19.41;2;yes
8;yes;B;20;1;28.2;2;yes
9;no;A;20;1;16.33;2;yes
9;no;B;20;1;15.72;2;yes
10;yes;A;20;1;9.38;2;yes
10;yes;B;20;1;9.54;2;yes
1;yes;A;21;6;39.22;6;yes
1;yes;B;21;6;14.2;6;yes
2;yes;A;21;6;14.76;6;yes
2;yes;B;21;5;15.59;6;yes
3;yes;A;21;6;36.78;6;yes
3;yes;B;21;6;32;6;yes
4;no;A;21;6;18.37;6;yes
4;no;B;21;5;11.38;6;yes
5;yes;A;21;6;48.34;6;yes
5;yes;B;21;6;21.41;6;yes
6;yes;A;21;6;18.94;6;yes
6;yes;B;21;6;19.48;6;yes
7;no;A;21;5;39.83;6;yes
7;no;B;21;5;19.32;6;yes
8;yes;A;21;5;31.62;6;yes
8;yes;B;21;5;25.78;6;yes
9;no;A;21;4;23.54;6;yes
9;no;B;21;7;42.68;6;yes
10;yes;A;21;3;16.83;6;yes
10;yes;B;21;4;17.51;6;yes
1;yes;A;22;1;29.54;1;no
1;yes;B;22;1;16.6;1;no
2;yes;A;22;1;9.04;1;no
2;yes;B;22;1;10.43;1;no
3;yes;A;22;1;71.65;1;no
3;yes;B;22;1;24.27;1;no
4;no;A;22;1;17.17;1;no
4;no;B;22;1;17.43;1;no
5;yes;A;22;1;39.66;1;no
5;yes;B;22;1;19.95;1;no
6;yes;A;22;1;29.18;1;no
6;yes;B;22;1;17.25;1;no
7;no;A;22;1;21.85;1;no
7;no;B;22;1;14.85;1;no
8;yes;A;22;1;34.77;1;no
8;yes;B;22;1;51.05;1;no
9;no;A;22;1;24.28;1;no
9;no;B;22;1;27.79;1;no
10;yes;A;22;1;19.27;1;no
10;yes;B;22;1;18.43;1;no
1;yes;A;23;0;27.3;0;no
1;yes;B;23;0;21.54;0;no
2;yes;A;23;0;8.07;0;no
2;yes;B;23;0;12.4;0;no
3;yes;A;23;0;31.68;0;no
3;yes;B;23;0;36.97;0;no
4;no;A;23;0;12.09;0;no
4;no;B;23;0;18.26;0;no
5;yes;A;23;0;26.8;0;no
5;yes;B;23;0;14.93;0;no
6;yes;A;23;0;17.18;0;no
6;yes;B;23;0;13.87;0;no
7;no;A;23;0;14.13;0;no
7;no;B;23;0;19.82;0;no
8;yes;A;23;0;22.69;0;no
8;yes;B;23;0;30.29;0;no
9;no;A;23;0;18.84;0;no
9;no;B;23;0;34.25;0;no
10;yes;A;23;0;10.82;0;no
10;yes;B;23;0;9.23;0;no
1;yes;A;24;0;24.13;0;no
1;yes;B;24;0;20.83;0;no
2;yes;A;24;0;12.63;0;no
2;yes;B;24;0;9.78;0;no
3;yes;A;24;0;23.32;0;no
3;yes;B;24;0;26.69;0;no
4;no;A;24;0;5.46;0;no
4;no;B;24;0;19.26;0;no
5;yes;A;24;0;31.37;0;no
5;yes;B;24;0;19.77;0;no
6;yes;A;24;0;16.21;0;no
6;yes;B;24;0;15.62;0;no
7;no;A;24;0;16.05;0;no
7;no;B;24;0;14.62;0;no
8;yes;A;24;0;20.99;0;no
8;yes;B;24;0;31.12;0;no
9;no;A;24;0;26.7;0;no
9;no;B;24;0;25.08;0;no
10;yes;A;24;0;6.24;0;no
10;yes;B;24;0;13.56;0;no
1;yes;A;25;0;26.73;0;no
1;yes;B;25;0;26.83;0;no
2;yes;A;25;0;16.35;0;no
2;yes;B;25;0;24.6;0;no
3;yes;A;25;0;47.3;0;no
3;yes;B;25;0;43.33;0;no
4;no;A;25;0;17.81;0;no
4;no;B;25;0;8.4;0;no
5;yes;A;25;0;24.43;0;no
5;yes;B;25;0;18.48;0;no
6;yes;A;25;0;22;0;no
6;yes;B;25;0;23.3;0;no
7;no;A;25;0;22.35;0;no
7;no;B;25;0;15.85;0;no
8;yes;A;25;0;35.25;0;no
8;yes;B;25;0;34.74;0;no
9;no;A;25;0;25.06;0;no
9;no;B;25;0;22.32;0;no
10;yes;A;25;0;29.5;0;no
10;yes;B;25;0;16.84;0;no
1;yes;A;26;3;29.87;4;no
1;yes;B;26;3;30.22;4;no
2;yes;A;26;3;29.32;4;no
2;yes;B;26;3;12.79;4;no
3;yes;A;26;2;28.37;4;no
3;yes;B;26;2;51.43;4;no
4;no;A;26;2;26.41;4;no
4;no;B;26;1;18.14;4;no
5;yes;A;26;1;45.73;4;no
5;yes;B;26;2;15.74;4;no
6;yes;A;26;2;18.24;4;no
6;yes;B;26;1;15.89;4;no
7;no;A;26;2;20.61;4;no
7;no;B;26;2;19.2;4;no
8;yes;A;26;1;30.74;4;no
8;yes;B;26;1;25.07;4;no
9;no;A;26;2;21.39;4;no
9;no;B;26;2;36.5;4;no
10;yes;A;26;1;15.35;4;no
10;yes;B;26;2;14.58;4;no
1;yes;A;27;3;28.82;3;no
1;yes;B;27;3;17.65;3;no
2;yes;A;27;3;9.63;3;no
2;yes;B;27;5;7.8;3;no
3;yes;A;27;3;22.28;3;no
3;yes;B;27;3;26.87;3;no
4;no;A;27;3;5.32;3;no
4;no;B;27;3;10.13;3;no
5;yes;A;27;3;24.18;3;no
5;yes;B;27;3;27.16;3;no
6;yes;A;27;3;18.07;3;no
6;yes;B;27;3;19.32;3;no
7;no;A;27;3;13.36;3;no
7;no;B;27;2;11.24;3;no
8;yes;A;27;3;24.46;3;no
8;yes;B;27;3;29.98;3;no
9;no;A;27;3;4.53;3;no
9;no;B;27;3;14.35;3;no
10;yes;A;27;3;13.28;3;no
10;yes;B;27;3;8.93;3;no
1;yes;A;28;4;34.15;5;no
1;yes;B;28;5;23.64;5;no
2;yes;A;28;5;15.73;5;no
2;yes;B;28;5;17.97;5;no
3;yes;A;28;5;34.94;5;no
3;yes;B;28;5;25.43;5;no
4;no;A;28;5;21.1;5;no
4;no;B;28;5;19.28;5;no
5;yes;A;28;5;32.42;5;no
5;yes;B;28;5;26.26;5;no
6;yes;A;28;3;24.46;5;no
6;yes;B;28;5;17.13;5;no
7;no;A;28;5;26.19;5;no
7;no;B;28;5;20.93;5;no
8;yes;A;28;5;30.75;5;no
8;yes;B;28;5;27.2;5;no
9;no;A;28;5;24.5;5;no
9;no;B;28;5;23.4;5;no
10;yes;A;28;4;18.5;5;no
10;yes;B;28;5;17.06;5;no
1;yes;A;29;0;27.37;0;no
1;yes;B;29;0;18.26;0;no
2;yes;A;29;0;9.39;0;no
2;yes;B;29;0;13.4;0;no
3;yes;A;29;0;32.03;0;no
3;yes;B;29;0;31.93;0;no
4;no;A;29;0;17.35;0;no
4;no;B;29;0;16.52;0;no
5;yes;A;29;0;24.78;0;no
5;yes;B;29;0;15.77;0;no
6;yes;A;29;0;13.16;0;no
6;yes;B;29;0;16.16;0;no
7;no;A;29;0;10.69;0;no
7;no;B;29;0;12.36;0;no
8;yes;A;29;0;24.92;0;no
8;yes;B;29;0;34.49;0;no
9;no;A;29;0;18.25;0;no
9;no;B;29;0;11.38;0;no
10;yes;A;29;0;14.73;0;no
10;yes;B;29;0;9.13;0;no
1;yes;A;30;0;19.2;0;no
1;yes;B;30;0;17.13;0;no
2;yes;A;30;0;8.74;0;no
2;yes;B;30;0;10.56;0;no
3;yes;A;30;0;25.22;0;no
3;yes;B;30;0;23.45;0;no
4;no;A;30;0;10.04;0;no
4;no;B;30;0;13.55;0;no
5;yes;A;30;0;34.33;0;no
5;yes;B;30;0;22.01;0;no
6;yes;A;30;0;25.71;0;no
6;yes;B;30;0;10.63;0;no
7;no;A;30;0;14.21;0;no
7;no;B;30;0;8.25;0;no
8;yes;A;30;0;17.85;0;no
8;yes;B;30;0;17.28;0;no
9;no;A;30;0;19.09;0;no
9;no;B;30;0;9.79;0;no
10;yes;A;30;0;18.36;0;no
10;yes;B;30;0;7.98;0;no
